id,type,model,year,VIN
1,Isuzu,Hombre,1997,19XFB2F51FE172069
2,Ford,F150,1997,4T1BK1EB4EU216058
3,Chrysler,300C,2005,3VW4A7AT7DM157900
4,Audi,A8,2005,2G61V5S84F9554469
5,Suzuki,Verona,2006,SCBLE37G05C081996
6,Pontiac,Grand Prix,1976,WAUJC58E75A465558
7,Chevrolet,Impala,2001,WBAPH73569E844032
8,Mercedes-Benz,C-Class,1999,1G6AR5SX2F0851570
9,Chevrolet,Silverado 2500,2005,1GD312CG5CF992082
10,Lincoln,Town Car,1987,1G6KF57982U338270
11,Lexus,LS,1995,WAUNF98P37A081345
12,Cadillac,Escalade,2003,KNDMA5C13F6056472
13,BMW,7 Series,1994,WAUAF48H88K412894
14,Mitsubishi,GTO,1990,5TDDK4CC7AS108073
15,Mercedes-Benz,Sprinter 3500,2012,KNALN4D72E5758720
16,Mazda,Familia,1986,3D7TT2CT8BG529562
17,Saab,9000,1997,SAJWJ1CDXF8333295
18,Mitsubishi,Montero Sport,2003,SALGR2VF2FA251322
19,Aston Martin,Vantage,2010,WAUKG98E76A858333
20,Bentley,Brooklands,2009,1D4PU7GX6AW950217
21,Ford,Edge,2009,1G4HP52K044567250
22,Chevrolet,2500,1994,SCBDC3ZAXDC181279
23,Lamborghini,Murciélago,2007,2C3CCAAG3EH532386
24,Audi,S4,2002,4USBU33538L783387
25,Bentley,Continental,2009,2HNYD2H64CH784821
26,Chevrolet,Express 1500,2004,1G6DF5EGXA0364126
27,GMC,Savana 1500,2006,2G4GY5GV9B9469789
28,Ford,Escort,1992,JN8AZ2KR2BT091540
29,Mitsubishi,Mirage,1999,3VW467AT4DM588809
30,Maserati,Quattroporte,2011,WBANF33556C169268
31,Dodge,Dakota Club,1994,WBAFZ9C5XDC255574
32,Aston Martin,DB9,2005,1G6DH8E50D0529924
33,Nissan,Altima,2003,SALCT2BG6FH554835
34,Nissan,Maxima,1990,JHMZE2H53AS562547
35,Volvo,S70,1998,5J8TB2H28CA245735
36,Oldsmobile,88,1994,1N6AF0LY8FN656539
37,Infiniti,QX56,2011,JN1CV6EK8EM118117
38,Chevrolet,Corvette,1967,3N1CN7AP7EK014452
39,Ford,Explorer,2011,SCBZK25E82C456723
40,Land Rover,LR3,2008,KL4CJBSB0EB169199
41,Nissan,Quest,1999,JM1NC2PF4F0579716
42,Mercedes-Benz,R-Class,2006,WAUEH48H07K715811
43,Nissan,Maxima,1998,WAUPL68E95A473242
44,Toyota,Sequoia,2001,WAUVC68EX2A183627
45,BMW,5 Series,1999,19XFB2F50DE957051
46,Buick,Somerset,1986,WA1DKBFP2CA695649
47,Saturn,Outlook,2008,1GTN1TEH7EZ188358
48,Chevrolet,2500,1994,YV1622FS6C2056844
49,Infiniti,QX,2004,JHMZE2H34CS043038
50,Dodge,Grand Caravan,2002,WBAVC93577K837686
51,Dodge,Grand Caravan,1998,YV126MFCXF1621775
52,Maybach,62,2008,WAUAKAFB6BN161792
53,Maybach,62,2003,SAJWA0JH9EM468094
54,Infiniti,G,1994,1FMCU0E71AK750321
55,Mazda,323,1992,5UXFE835X8L192540
56,Subaru,SVX,1995,WBANE53506C543154
57,Nissan,Altima,1999,1GYFK56299R925275
58,Mercedes-Benz,E-Class,2001,KNADM4A36D6288757
59,BMW,X5,2006,WBAYP9C58DD272463
60,Ford,Bronco,1996,1GKS1EEF7DR903736
61,Chevrolet,Corvette,1953,WAULT58E45A205644
62,Mazda,MX-3,1992,1GYUKFEJ3AR047143
63,GMC,Safari,2003,1N6AA0CC8BN014965
64,Toyota,Paseo,1996,WAULT68E13A220296
65,Ford,E150,2008,WP0AB2A96AS580979
66,Kia,Spectra,2007,SCBZB25E62C827894
67,Volkswagen,Corrado,1992,JH4DC53063C699458
68,Isuzu,Ascender,2004,1N6AA0EC0EN709183
69,Mercedes-Benz,SLR McLaren,2005,WA1WMAFP6EA167788
70,Toyota,Tacoma Xtra,1999,JM1NC2MF5E0884242
71,Toyota,Sequoia,2005,2C3CCADG2DH119644
72,Mercedes-Benz,W126,1983,JTEBU5JRXC5430127
73,Chevrolet,Tahoe,2000,KMHGH4JH5DU239864
74,Jeep,Liberty,2008,KMHFG4JG8EA591149
75,Toyota,Supra,1996,WAUDL54FX5N751330
76,Mercury,Sable,1997,5J8TB18209A918634
77,Suzuki,Sidekick,1997,JN8AE2KP8E9093515
78,Subaru,Legacy,1995,3VW1K7AJ8DM089332
79,Eagle,Summit,1992,1GKS1AE07ER891237
80,Ford,Econoline E250,1994,1G6KF54921U717557
81,Chevrolet,Aveo,2010,KNAFT4A22C5042439
82,Mitsubishi,Truck,1992,1C4AJWAG7CL453051
83,Lexus,RX,2008,1G6DD8E36E0191893
84,Porsche,944,1989,3VW8S7AT2FM595807
85,Nissan,Maxima,1997,JTDJTUD37ED457525
86,Dodge,Ram Van 3500,1996,WDDHF5KB4EA100655
87,Chevrolet,Traverse,2010,WBAUP7C5XCV730211
88,GMC,Sierra 3500,2001,1FTEW1CW4AF068291
89,Hyundai,Santa Fe,2012,WBAVC93548K689403
90,Ford,Escape,2002,WBADT63421C555443
91,Toyota,Camry Hybrid,2009,YV1960ASXA1168059
